crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Trigonal,11,MagpieData mean MendeleevNumber,0.018186249796469302,0.00408540311980465,0.5740803916717147,13.0
Trigonal,11,MagpieData avg_dev MendeleevNumber,0.002791437148975384,0.0010324763033955238,0.5740803916717147,55.0
Trigonal,11,MagpieData mode MendeleevNumber,-0.00025786011785740027,3.813955973861299e-05,0.5740803916717147,134.0
Trigonal,11,MagpieData minimum AtomicWeight,-0.00013323712505348696,9.042411822029717e-05,0.5740803916717147,133.0
Trigonal,11,MagpieData maximum AtomicWeight,0.0003646784402296488,0.00035995987755544295,0.5740803916717147,86.0
Trigonal,11,MagpieData range AtomicWeight,0.005917120943887211,0.0018489434377683986,0.5740803916717147,36.0
Trigonal,11,MagpieData mean AtomicWeight,0.0038077915103360118,0.00047728296942048344,0.5740803916717147,47.0
Trigonal,11,MagpieData avg_dev AtomicWeight,0.003371059196116466,0.0018553788028227648,0.5740803916717147,50.0
Trigonal,11,MagpieData mode AtomicWeight,4.172993027544703e-05,0.00017492541618739088,0.5740803916717147,104.0
Trigonal,11,MagpieData minimum MeltingT,1.793642857146338e-05,1.9002891482443135e-05,0.5740803916717147,110.0
Trigonal,11,MagpieData maximum MeltingT,0.005386649664489473,0.0017265699572587018,0.5740803916717147,40.0
Trigonal,11,MagpieData range MeltingT,0.005256168239356729,0.0017472489759733695,0.5740803916717147,41.0
Trigonal,11,MagpieData mean MeltingT,0.011125787745003436,0.001756417943468338,0.5740803916717147,21.0
Trigonal,11,MagpieData avg_dev MeltingT,0.009224163235874073,0.0025577541550324506,0.5740803916717147,24.0
Trigonal,11,MagpieData mode MeltingT,0.00011202145445434741,0.0001507622343495279,0.5740803916717147,98.0
Trigonal,11,MagpieData minimum Column,0.0013773869595576026,0.00036148100499142945,0.5740803916717147,69.0
Trigonal,11,MagpieData maximum Column,-1.8031529677298154e-05,1.242219860831233e-05,0.5740803916717147,124.0
Trigonal,11,MagpieData range Column,6.683588418168184e-05,8.062266902194986e-05,0.5740803916717147,102.0
Trigonal,11,MagpieData mean Column,0.00914451028676715,0.0016581056352493182,0.5740803916717147,25.0
Trigonal,11,MagpieData avg_dev Column,0.01667369903975624,0.0016441448416759704,0.5740803916717147,14.0
Trigonal,11,MagpieData mode Column,-7.272926570676131e-05,8.523761744901052e-05,0.5740803916717147,129.0
Trigonal,11,MagpieData minimum Row,-5.160499999989909e-05,1.9900077376537482e-05,0.5740803916717147,126.0
Trigonal,11,MagpieData maximum Row,0.00017570939757902693,0.0003628846178955311,0.5740803916717147,96.0
Trigonal,11,MagpieData range Row,0.00047729016386364174,0.0006389212784204906,0.5740803916717147,82.0
Trigonal,11,MagpieData mean Row,0.008683798702485212,0.0009976636801585844,0.5740803916717147,26.0
Trigonal,11,MagpieData avg_dev Row,0.0031914645588467794,0.0010120356496753254,0.5740803916717147,51.0
Trigonal,11,MagpieData mode Row,3.99771428572393e-05,0.0001388068612041766,0.5740803916717147,106.0
Trigonal,11,MagpieData minimum CovalentRadius,-0.00027655350879127736,0.00013430002753219393,0.5740803916717147,135.0
Trigonal,11,MagpieData maximum CovalentRadius,0.007856364770855695,0.001249699333902247,0.5740803916717147,30.0
Trigonal,11,MagpieData range CovalentRadius,0.005052519343507633,0.0011720801814076882,0.5740803916717147,42.0
Trigonal,11,MagpieData mean CovalentRadius,0.006141062799852959,0.0010767239703139372,0.5740803916717147,35.0
Trigonal,11,MagpieData avg_dev CovalentRadius,0.014253262020638258,0.002199470438383763,0.5740803916717147,15.0
Trigonal,11,MagpieData mode CovalentRadius,6.689851423400395e-05,0.0001522893639563914,0.5740803916717147,101.0
Trigonal,11,MagpieData minimum Electronegativity,0.0016580893869422297,0.0021134230815542045,0.5740803916717147,63.0
Trigonal,11,MagpieData maximum Electronegativity,4.062430509763626e-05,4.236169244792315e-05,0.5740803916717147,105.0
Trigonal,11,MagpieData range Electronegativity,0.0013999400809123319,0.0009078874048517793,0.5740803916717147,68.0
Trigonal,11,MagpieData mean Electronegativity,0.018927881512946398,0.002305003691967976,0.5740803916717147,12.0
Trigonal,11,MagpieData avg_dev Electronegativity,0.00545631592707867,0.0016662615174781238,0.5740803916717147,39.0
Trigonal,11,MagpieData mode Electronegativity,0.0002983768181957336,0.0001126724251258163,0.5740803916717147,92.0
Trigonal,11,MagpieData minimum NsValence,9.208309426256278e-05,0.00017927947768572798,0.5740803916717147,99.0
Trigonal,11,MagpieData maximum NsValence,0.0,0.0,0.5740803916717147,111.0
Trigonal,11,MagpieData range NsValence,0.00021427110709304475,0.00013237611817567836,0.5740803916717147,94.0
Trigonal,11,MagpieData mean NsValence,0.00035187492947703626,0.0002386238669683497,0.5740803916717147,89.0
Trigonal,11,MagpieData avg_dev NsValence,0.0010474599199798318,0.00016265823641735402,0.5740803916717147,73.0
Trigonal,11,MagpieData mode NsValence,-6.921642857133925e-05,1.2387825367929767e-05,0.5740803916717147,128.0
Trigonal,11,MagpieData minimum NpValence,0.00036308868095069613,0.00014098277559640367,0.5740803916717147,87.0
Trigonal,11,MagpieData maximum NpValence,5.061075445591534e-05,4.510546193470827e-05,0.5740803916717147,103.0
Trigonal,11,MagpieData range NpValence,-5.7377039155181996e-05,1.7495453007378738e-05,0.5740803916717147,127.0
Trigonal,11,MagpieData mean NpValence,0.040312414329194544,0.0044536246020487604,0.5740803916717147,5.0
Trigonal,11,MagpieData avg_dev NpValence,0.007916595554711114,0.0011584739488225426,0.5740803916717147,29.0
Trigonal,11,MagpieData mode NpValence,-7.63740850248551e-05,2.221185300318321e-05,0.5740803916717147,130.0
Trigonal,11,MagpieData minimum NdValence,0.0,0.0,0.5740803916717147,111.0
Trigonal,11,MagpieData maximum NdValence,0.03528990604311773,0.0018582329321720685,0.5740803916717147,6.0
Trigonal,11,MagpieData range NdValence,0.04380203440265416,0.0032307757907325753,0.5740803916717147,4.0
Trigonal,11,MagpieData mean NdValence,0.026969676240682073,0.002806195374477992,0.5740803916717147,7.0
Trigonal,11,MagpieData avg_dev NdValence,0.26576040603891515,0.01290918638158136,0.5740803916717147,1.0
Trigonal,11,MagpieData mode NdValence,0.0,0.0,0.5740803916717147,111.0
Trigonal,11,MagpieData minimum NfValence,0.0,0.0,0.5740803916717147,111.0
Trigonal,11,MagpieData maximum NfValence,0.00039851579543295215,0.00014678686982158147,0.5740803916717147,85.0
