crystal_system,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,std_absolute_coefficient,nonzero_folds
Hexagonal,MagpieData avg_dev GSmagmom,0.012016484453887862,0.026869676089462696,0.012016484453887862,0.026869676089462696,1
Hexagonal,MagpieData avg_dev GSvolume_pa,0.04091781222007959,0.06053810660898711,0.04091781222007959,0.06053810660898711,2
Hexagonal,MagpieData avg_dev MeltingT,-0.04305643126271968,0.04616170103590751,0.04305643126271968,0.04616170103590751,3
Hexagonal,MagpieData avg_dev MendeleevNumber,-0.044471357057314545,0.06237470598512898,0.044471357057314545,0.06237470598512898,3
Hexagonal,MagpieData avg_dev NUnfilled,-0.07095871969428613,0.09022204508395108,0.07095871969428613,0.09022204508395108,4
Hexagonal,MagpieData avg_dev NValence,0.2730498704884403,0.12099763884691574,0.2730498704884403,0.12099763884691574,5
Hexagonal,MagpieData avg_dev NdUnfilled,-0.020923712711475754,0.035179939321750585,0.020923712711475754,0.035179939321750585,2
Hexagonal,MagpieData avg_dev NdValence,-0.12366638558400882,0.11514657834242471,0.12366638558400882,0.11514657834242471,3
Hexagonal,MagpieData avg_dev NfUnfilled,-0.030001755185440515,0.04181595307741028,0.030001755185440515,0.04181595307741028,3
Hexagonal,MagpieData avg_dev NfValence,-0.1788712547430567,0.18989928108332882,0.1788712547430567,0.18989928108332882,3
Hexagonal,MagpieData avg_dev NpUnfilled,0.256534483084928,0.08153200598280637,0.256534483084928,0.08153200598280637,5
Hexagonal,MagpieData avg_dev NpValence,-0.21899179480043468,0.04299758935581703,0.21899179480043468,0.04299758935581703,5
Hexagonal,MagpieData avg_dev NsUnfilled,0.06138596564310704,0.05083400490304213,0.06138596564310704,0.05083400490304213,4
Hexagonal,MagpieData avg_dev NsValence,0.045743791342915945,0.03722402601137744,0.045743791342915945,0.03722402601137744,4
Hexagonal,MagpieData avg_dev Number,0.03173104013718267,0.0709527627435147,0.03173104013718267,0.0709527627435147,1
Hexagonal,MagpieData avg_dev Row,-0.13094774494186862,0.1137044341682273,0.13094774494186862,0.1137044341682273,4
Hexagonal,MagpieData avg_dev SpaceGroupNumber,-0.1550914151700144,0.10834295856183666,0.1550914151700144,0.10834295856183666,5
Hexagonal,MagpieData maximum AtomicWeight,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData maximum Column,0.1738374788468842,0.04486397073891948,0.1738374788468842,0.04486397073891948,5
Hexagonal,MagpieData maximum CovalentRadius,0.02190924059808189,0.04899055131270925,0.02190924059808189,0.04899055131270925,1
Hexagonal,MagpieData maximum Electronegativity,-0.055240667472273144,0.01765319087058364,0.055240667472273144,0.01765319087058364,5
Hexagonal,MagpieData maximum GSbandgap,-0.1070015493461621,0.07711550043704501,0.1070015493461621,0.07711550043704501,5
Hexagonal,MagpieData maximum GSmagmom,-0.11674001117649813,0.06124290043645533,0.11674001117649813,0.06124290043645533,5
Hexagonal,MagpieData maximum GSvolume_pa,0.02521883184909004,0.03350641901246634,0.02521883184909004,0.03350641901246634,3
Hexagonal,MagpieData maximum MeltingT,-0.02028011076049483,0.033107661757574604,0.02028011076049483,0.033107661757574604,2
Hexagonal,MagpieData maximum MendeleevNumber,-0.024217432946625657,0.03577586641693654,0.024217432946625657,0.03577586641693654,2
Hexagonal,MagpieData maximum NUnfilled,-0.20744688611610312,0.1458351317858356,0.20744688611610312,0.1458351317858356,4
Hexagonal,MagpieData maximum NValence,0.2841177487023966,0.07360277351216753,0.2841177487023966,0.07360277351216753,5
Hexagonal,MagpieData maximum NdUnfilled,0.05900297837319031,0.09637908631265701,0.08045117108765795,0.07449918749809982,4
Hexagonal,MagpieData maximum NdValence,-0.18559128026655608,0.052406040397721,0.18559128026655608,0.052406040397721,5
Hexagonal,MagpieData maximum NfUnfilled,0.1227730204821953,0.1074520062737172,0.1227730204821953,0.1074520062737172,5
Hexagonal,MagpieData maximum NfValence,0.03806392902430762,0.03341262687668975,0.03806392902430762,0.03341262687668975,4
Hexagonal,MagpieData maximum NpUnfilled,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData maximum NpValence,0.0027963586615774947,0.004158058538669065,0.0027963586615774947,0.004158058538669065,4
Hexagonal,MagpieData maximum NsUnfilled,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData maximum NsValence,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData maximum Number,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData maximum Row,-0.06893375835214469,0.05492345985412651,0.06893375835214469,0.05492345985412651,4
Hexagonal,MagpieData maximum SpaceGroupNumber,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData mean AtomicWeight,0.02486511717627527,0.05560009227464913,0.02486511717627527,0.05560009227464913,1
Hexagonal,MagpieData mean Column,-0.01451697505810173,0.03246094305758442,0.01451697505810173,0.03246094305758442,1
Hexagonal,MagpieData mean CovalentRadius,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData mean Electronegativity,-0.015697123456962017,0.035099835100973566,0.015697123456962017,0.035099835100973566,1
Hexagonal,MagpieData mean GSbandgap,0.06423980952941297,0.05827795489661275,0.06423980952941297,0.05827795489661275,4
Hexagonal,MagpieData mean GSmagmom,0.1460894646475575,0.079753986937151,0.1460894646475575,0.079753986937151,5
Hexagonal,MagpieData mean GSvolume_pa,0.10961921320183846,0.02486410594043143,0.10961921320183846,0.02486410594043143,5
Hexagonal,MagpieData mean MeltingT,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData mean MendeleevNumber,-0.02197170438670868,0.049130224590210936,0.02197170438670868,0.049130224590210936,1
